stop_id,tract_id
380,1400000US17031831400
381,1400000US17031831400
382,1400000US17031831400
386,1400000US17031252000
388,1400000US17031252101
389,1400000US17031252101
390,1400000US17031252101
391,1400000US17031252101
394,1400000US17031252102
395,1400000US17031252102
396,1400000US17031252102
397,1400000US17031252102
402,1400000US17031252202
403,1400000US17031252202
406,1400000US17031260600
409,1400000US17031260700
412,1400000US17031270500
413,1400000US17031271400
415,1400000US17031271300
416,1400000US17031271300
417,1400000US17031271200
420,1400000US17031837400
421,1400000US17031837400
423,1400000US17031280800
425,1400000US17031280900
427,1400000US17031838000
428,1400000US17031838000
429,1400000US17031838100
430,1400000US17031838100
431,1400000US17031838100
432,1400000US17031838100
435,1400000US17031833100
436,1400000US17031833100
437,1400000US17031833100
439,1400000US17031833100
440,1400000US17031280100
442,1400000US17031280100
443,1400000US17031280100
445,1400000US17031839100
446,1400000US17031839100
448,1400000US17031320102
449,1400000US17031320102
450,1400000US17031320102
455,1400000US17031280100
456,1400000US17031280100
458,1400000US17031833000
459,1400000US17031833000
460,1400000US17031833000
462,1400000US17031833000
463,1400000US17031833000
464,1400000US17031833000
465,1400000US17031833000
466,1400000US17031838100
468,1400000US17031838100
469,1400000US17031838100
470,1400000US17031837800
473,1400000US17031837800
478,1400000US17031837000
479,1400000US17031837000
480,1400000US17031836900
482,1400000US17031836900
484,1400000US17031270500
485,1400000US17031270500
486,1400000US17031260100
487,1400000US17031260100
494,1400000US17031251800
495,1400000US17031251800
496,1400000US17031251800
497,1400000US17031251800
498,1400000US17031251800
499,1400000US17031251800
502,1400000US17031251900
505,1400000US17031251900
506,1400000US17031252000
507,1400000US17031252000
508,1400000US17031252000
509,1400000US17031252000
510,1400000US17031251300
511,1400000US17031251400
512,1400000US17031251400
513,1400000US17031251400
515,1400000US17031251400
516,1400000US17031251500
518,1400000US17031251500
520,1400000US17031251600
522,1400000US17031251600
523,1400000US17031251700
524,1400000US17031251700
525,1400000US17031842100
527,1400000US17031842100
528,1400000US17031842100
529,1400000US17031842100
530,1400000US17031842100
531,1400000US17031231500
535,1400000US17031231500
537,1400000US17031836700
538,1400000US17031836700
540,1400000US17031836700
543,1400000US17031836700
544,1400000US17031836700
545,1400000US17031242800
547,1400000US17031242800
550,1400000US17031242900
551,1400000US17031243000
552,1400000US17031243000
553,1400000US17031243100
556,1400000US17031243200
557,1400000US17031243300
559,1400000US17031243400
561,1400000US17031243500
563,1400000US17031243500
565,1400000US17031842300
566,1400000US17031842300
567,1400000US17031081900
569,1400000US17031081900
572,1400000US17031081800
574,1400000US17031081700
580,1400000US17031081500
582,1400000US17031081401
584,1400000US17031081401
587,1400000US17031081403
589,1400000US17031081403
590,1400000US17031081403
593,1400000US17031081401
595,1400000US17031081401
596,1400000US17031081401
597,1400000US17031081300
599,1400000US17031081201
601,1400000US17031081201
606,1400000US17031081800
609,1400000US17031081800
611,1400000US17031081900
612,1400000US17031842300
613,1400000US17031842300
615,1400000US17031842300
617,1400000US17031842300
618,1400000US17031842300
620,1400000US17031842300
621,1400000US17031242000
622,1400000US17031242000
625,1400000US17031242200
631,1400000US17031242500
633,1400000US17031242600
634,1400000US17031242600
636,1400000US17031242700
638,1400000US17031836600
641,1400000US17031836600
643,1400000US17031836600
644,1400000US17031231100
647,1400000US17031231200
648,1400000US17031231200
649,1400000US17031842100
650,1400000US17031842100
651,1400000US17031842100
653,1400000US17031842100
654,1400000US17031251000
656,1400000US17031251000
658,1400000US17031251100
659,1400000US17031251100
660,1400000US17031251200
662,1400000US17031251200
668,1400000US17031831600
669,1400000US17031831600
670,1400000US17031831600
671,1400000US17031831600
672,1400000US17031831600
677,1400000US17031191301
680,1400000US17031191301
681,1400000US17031191302
683,1400000US17031191302
685,1400000US17031191200
686,1400000US17031191200
688,1400000US17031191200
689,1400000US17031191200
690,1400000US17031191100
691,1400000US17031191100
692,1400000US17031250200
693,1400000US17031831300
694,1400000US17031230500
695,1400000US17031230500
696,1400000US17031230500
698,1400000US17031230600
700,1400000US17031230600
702,1400000US17031230700
703,1400000US17031230700
704,1400000US17031230700
708,1400000US17031231100
714,1400000US17031242700
717,1400000US17031836700
723,1400000US17031243000
724,1400000US17031243000
725,1400000US17031243000
726,1400000US17031243100
727,1400000US17031243100
728,1400000US17031243200
729,1400000US17031243200
730,1400000US17031243300
731,1400000US17031243300
735,1400000US17031243500
736,1400000US17031243500
737,1400000US17031243500
738,1400000US17031243500
739,1400000US17031842300
741,1400000US17031842300
742,1400000US17031081800
744,1400000US17031081800
747,1400000US17031081700
751,1400000US17031081500
754,1400000US17031081403
755,1400000US17031081402
756,1400000US17031081402
758,1400000US17031081402
759,1400000US17031081402
760,1400000US17031081402
764,1400000US17031081500
